[2023-11-28 01:19:02] Epoch 286/500 | Discriminator Loss: 0.000000 | Generator Loss: 54.930244
[2023-11-28 01:19:49] Epoch 287/500 | Discriminator Loss: 0.000000 | Generator Loss: 51.557732
[2023-11-28 01:20:36] Epoch 288/500 | Discriminator Loss: 0.000000 | Generator Loss: 53.857162
[2023-11-28 01:21:23] Epoch 289/500 | Discriminator Loss: 0.000000 | Generator Loss: 51.725750
[2023-11-28 01:22:10] Epoch 290/500 | Discriminator Loss: 0.000000 | Generator Loss: 50.373650
[2023-11-28 01:22:58] Epoch 291/500 | Discriminator Loss: 0.000000 | Generator Loss: 56.011436
[2023-11-28 01:23:45] Epoch 292/500 | Discriminator Loss: 0.000000 | Generator Loss: 53.334618
[2023-11-28 01:24:32] Epoch 293/500 | Discriminator Loss: 0.000000 | Generator Loss: 51.779068
[2023-11-28 01:25:19] Epoch 294/500 | Discriminator Loss: 0.000000 | Generator Loss: 53.960712
[2023-11-28 01:26:06] Epoch 295/500 | Discriminator Loss: 0.000000 | Generator Loss: 54.020981
[2023-11-28 01:26:53] Epoch 296/500 | Discriminator Loss: 0.000000 | Generator Loss: 56.470512
[2023-11-28 01:27:41] Epoch 297/500 | Discriminator Loss: 0.000001 | Generator Loss: 56.076653
[2023-11-28 01:28:28] Epoch 298/500 | Discriminator Loss: 0.000000 | Generator Loss: 51.510960
[2023-11-28 01:29:16] Epoch 299/500 | Discriminator Loss: 0.000000 | Generator Loss: 48.612251
[2023-11-28 01:30:03] Epoch 300/500 | Discriminator Loss: 0.000000 | Generator Loss: 55.032562
[2023-11-28 01:30:51] Epoch 301/500 | Discriminator Loss: 0.000000 | Generator Loss: 54.504955
[2023-11-28 01:31:38] Epoch 302/500 | Discriminator Loss: 0.000000 | Generator Loss: 55.404221
[2023-11-28 01:32:24] Epoch 303/500 | Discriminator Loss: 0.000000 | Generator Loss: 54.252991
[2023-11-28 01:33:12] Epoch 304/500 | Discriminator Loss: 0.000000 | Generator Loss: 53.249943
[2023-11-28 01:33:58] Epoch 305/500 | Discriminator Loss: 0.000000 | Generator Loss: 53.993813
[2023-11-28 01:34:46] Epoch 306/500 | Discriminator Loss: 0.000000 | Generator Loss: 54.309189
[2023-11-28 01:35:33] Epoch 307/500 | Discriminator Loss: 0.000000 | Generator Loss: 54.393799
[2023-11-28 01:36:21] Epoch 308/500 | Discriminator Loss: 0.000000 | Generator Loss: 51.558723
[2023-11-28 01:37:08] Epoch 309/500 | Discriminator Loss: 0.000000 | Generator Loss: 55.871124
[2023-11-28 01:37:56] Epoch 310/500 | Discriminator Loss: 0.000000 | Generator Loss: 53.478230
[2023-11-28 01:38:43] Epoch 311/500 | Discriminator Loss: 0.000000 | Generator Loss: 52.871414
[2023-11-28 01:39:30] Epoch 312/500 | Discriminator Loss: 0.000000 | Generator Loss: 54.786575
[2023-11-28 01:40:17] Epoch 313/500 | Discriminator Loss: 0.000000 | Generator Loss: 50.439774
[2023-11-28 01:41:05] Epoch 314/500 | Discriminator Loss: 0.000000 | Generator Loss: 51.752724
[2023-11-28 01:41:53] Epoch 315/500 | Discriminator Loss: 0.000000 | Generator Loss: 51.727478
[2023-11-28 01:42:40] Epoch 316/500 | Discriminator Loss: 0.000000 | Generator Loss: 48.466896
[2023-11-28 01:43:28] Epoch 317/500 | Discriminator Loss: 0.000000 | Generator Loss: 54.833710
[2023-11-28 01:44:15] Epoch 318/500 | Discriminator Loss: 0.000000 | Generator Loss: 56.153542
[2023-11-28 01:45:03] Epoch 319/500 | Discriminator Loss: 0.000000 | Generator Loss: 54.559566
[2023-11-28 01:45:50] Epoch 320/500 | Discriminator Loss: 0.000000 | Generator Loss: 45.978363
[2023-11-28 01:46:38] Epoch 321/500 | Discriminator Loss: 0.000000 | Generator Loss: 49.207153
[2023-11-28 01:47:25] Epoch 322/500 | Discriminator Loss: 0.000000 | Generator Loss: 56.560337
[2023-11-28 01:48:13] Epoch 323/500 | Discriminator Loss: 0.000000 | Generator Loss: 52.161369
[2023-11-28 01:49:00] Epoch 324/500 | Discriminator Loss: 0.000000 | Generator Loss: 50.983292
[2023-11-28 01:49:48] Epoch 325/500 | Discriminator Loss: 0.000000 | Generator Loss: 50.505657
[2023-11-28 01:50:35] Epoch 326/500 | Discriminator Loss: 0.000000 | Generator Loss: 56.488728
[2023-11-28 01:51:23] Epoch 327/500 | Discriminator Loss: 0.000000 | Generator Loss: 52.003685
[2023-11-28 01:52:10] Epoch 328/500 | Discriminator Loss: 0.000000 | Generator Loss: 50.126347
[2023-11-28 01:52:58] Epoch 329/500 | Discriminator Loss: 0.000000 | Generator Loss: 51.231441
[2023-11-28 01:53:45] Epoch 330/500 | Discriminator Loss: 0.000000 | Generator Loss: 53.185555
[2023-11-28 01:54:33] Epoch 331/500 | Discriminator Loss: 0.000000 | Generator Loss: 53.632912
[2023-11-28 01:55:20] Epoch 332/500 | Discriminator Loss: 0.000000 | Generator Loss: 53.928429
[2023-11-28 01:56:08] Epoch 333/500 | Discriminator Loss: 0.000000 | Generator Loss: 54.080345
[2023-11-28 01:56:56] Epoch 334/500 | Discriminator Loss: 0.000001 | Generator Loss: 52.229187
[2023-11-28 01:57:44] Epoch 335/500 | Discriminator Loss: 0.000000 | Generator Loss: 55.744362
[2023-11-28 01:58:31] Epoch 336/500 | Discriminator Loss: 0.000000 | Generator Loss: 56.940552
[2023-11-28 01:59:19] Epoch 337/500 | Discriminator Loss: 0.000000 | Generator Loss: 50.797134
[2023-11-28 02:00:07] Epoch 338/500 | Discriminator Loss: 0.000000 | Generator Loss: 50.111664
[2023-11-28 02:00:55] Epoch 339/500 | Discriminator Loss: 0.000000 | Generator Loss: 52.933479
[2023-11-28 02:01:42] Epoch 340/500 | Discriminator Loss: 0.000000 | Generator Loss: 54.121170
[2023-11-28 02:02:29] Epoch 341/500 | Discriminator Loss: 0.000000 | Generator Loss: 56.773289
[2023-11-28 02:03:16] Epoch 342/500 | Discriminator Loss: 0.000000 | Generator Loss: 53.924694
